NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
2864,556,1713A46TEST0000000000012900,Keruing,14.1,72,58,65,4.68,,0
2865,2239,1713A46TEST0000000000014583,Meranti Merah,10.9,70,61,65,3.62,,0
2866,722,1713A46TEST0000000000013066,Benuas,13.7,120,96,108,11.06,33,11.9
2867,797,1713A46TEST0000000000013141,Keruing,18.5,75,60,67,6.52,,0
2868,1959,1713A46TEST0000000000014303,Keruing,18.9,60,46,53,4.17,,0
2869,128,1713A46TEST0000000000012472,Meranti Merah,12,86,72,79,5.4,20,8.2
2870,1721,1713A46TEST0000000000014065,Meranti Merah,19.7,93,72,82,10.4,,0
2871,1267,1713A46TEST0000000000013611,Meranti Merah,15.2,87,74,80,7.64,,0
2872,1579,1713A46TEST0000000000013923,Meranti Merah,12.3,86,76,81,6.34,,0
2873,2242,1713A46TEST0000000000014586,Mersawa,9.6,57,50,53,2.12,,0
2874,1494,1713A46TEST0000000000013838,Keruing,13.5,56,41,48,2.44,,0
2875,1641,1713A46TEST0000000000013985,Meranti Merah,14.1,59,50,54,3.23,,0
2876,952,1713A46TEST0000000000013296,Keruing,12.7,60,48,54,2.91,,0
2877,1985,1713A46TEST0000000000014329,Meranti Merah,18.2,73,50,61,5.32,,0
2878,2418,1713A46TEST0000000000014762,Benuas,11.5,66,60,63,2.92,24,18.5
2879,1728,1713A46TEST0000000000014072,Meranti Merah,19.7,75,57,66,6.74,,0
2880,2685,1713A46TEST0000000000015029,Benuas,13.8,61,53,57,3.36,11,4.7
2881,1820,1713A46TEST0000000000014164,Keruing,18.1,63,47,55,4.3,,0
2882,2758,1713A46TEST0000000000015102,Keruing,16.1,90,71,80,8.09,,0
2883,3123,1713A46TEST0000000000015467,Keruing,12.6,81,60,70,4.85,,0
2884,1265,1713A46TEST0000000000013609,Meranti Merah,13.1,60,46,53,2.89,,0
2885,1714,1713A46TEST0000000000014058,Meranti Merah,14,74,58,66,4.79,,0
2886,2291,1713A46TEST0000000000014635,Meranti Kuning,21.5,81,57,69,8.04,,0
2887,921,1713A46TEST0000000000013265,Benuas,16.5,96,77,86,9.05,18,5.6
2888,2061,1713A46TEST0000000000014405,Benuas,12.9,121,98,109,12.04,,0
2889,946,1713A46TEST0000000000013290,Meranti Putih,9.2,83,77,80,4.62,,0
2890,3357,1713A46TEST0000000000015701,Keruing,20.7,75,51,63,6.45,,0
2891,1217,1713A46TEST0000000000013561,Keruing,18.5,74,48,61,5.41,,0
2892,2942,1713A46TEST0000000000015286,Benuas,20.2,61,45,53,4.06,14,8.9
2893,2009,1713A46TEST0000000000014353,Keruing,18,62,50,56,4.43,,0
2894,2261,1713A46TEST0000000000014605,Keruing,14.9,60,40,50,2.93,,0
