noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,gr%
10A,,MR,5.1,46,39,42,0.71,0,0
10B,,MR,5.1,39,34,36,0.52,0,0
10C,,MR,4.3,34,32,33,0.37,0,0
10D,,MR,4.3,32,31,31,0.32,0,0
12A,,RC,4.1,57,55,56,1.01,0,0
12B,,RC,4.1,55,54,54,0.94,0,0
12C,,RC,4.1,54,52,53,0.9,0,0
13A,,RC,5.1,49,38,43,0.74,0,0
13B,,RC,5.1,38,36,37,0.55,0,0
13C,,RC,5.1,36,34,35,0.49,0,0
13D,,RC,3.1,34,33,33,0.27,0,0
14A,,KR,4.1,47,41,44,0.62,0,0
14B,,KR,4.1,41,37,39,0.49,0,0
14C,,KR,4.1,37,32,34,0.37,0,0
14D,,KR,5.5,32,29,30,0.39,0,0
30A,,MR,4.1,71,69,70,1.58,0,0
30B,,MR,4.1,69,62,65,1.36,0,0
30C,,MR,3.1,62,59,60,0.88,0,0
5B,,RC,5.1,55,53,54,1.17,0,0
1A,,RC,5.1,55,50,52,1.08,0,0
